DATE,CommercialREPrice
2005-01-01,15.66300284
2005-04-01,12.10571539
2005-07-01,9.977898646
2005-10-01,13.71852215
2006-01-01,12.98960423
2006-04-01,15.93845145
2006-07-01,13.80511263
2006-10-01,12.39664969
2007-01-01,12.46775253
2007-04-01,12.1101319
2007-07-01,11.75997011
2007-10-01,8.51749038
2008-01-01,-2.932015168
2008-04-01,-5.101688091
2008-07-01,-9.307851199
2008-10-01,-11.26121423
2009-01-01,-9.620683641
2009-04-01,-27.01046479
2009-07-01,-27.40900673
2009-10-01,-30.34637873
2010-01-01,-23.21871352
2010-04-01,0.627627346
2010-07-01,2.655124051
2010-10-01,11.68632037
2011-01-01,12.06561827
2011-04-01,1.837297906
2011-07-01,1.471662113
2011-10-01,6.227385371
2012-01-01,2.413563047
2012-04-01,4.294668332
2012-07-01,7.548735687
2012-10-01,2.853121731
2013-01-01,3.917951301
2013-04-01,10.55548841
2013-07-01,14.99994604
2013-10-01,12.92375025
2014-01-01,9.960543436
2014-04-01,8.72384511
2014-07-01,4.782953484
2014-10-01,8.61379603
2015-01-01,15.2593934
2015-04-01,12.37786207
2015-07-01,9.993999212
2015-10-01,5.754930348
2016-01-01,-0.869948335
2016-04-01,0.738122931
2016-07-01,4.338391261
2016-10-01,5.573525548
2017-01-01,5.764037971
2017-04-01,9.769124255
2017-07-01,4.068644475
2017-10-01,5.349658235
2018-01-01,8.412522845
2018-04-01,0.998131721
2018-07-01,3.150308957
2018-10-01,0.372758375
2019-01-01,3.898516435
2019-04-01,8.001908077
2019-07-01,6.96895015
2019-10-01,7.097288969
2020-01-01,4.076741141
2020-04-01,-2.584314744
2020-07-01,0.299716595
2020-10-01,4.564228452
2021-01-01,4.456438299
2021-04-01,9.761466366
2021-07-01,15.46754303
2021-10-01,16.28551447
2022-01-01,12.12749081
2022-04-01,8.815145553
2022-07-01,3.000757011
2022-10-01,-1.180546536
2023-01-01,0.174970044
2023-04-01,2.577863294
2023-07-01,-0.603348327
