DATE,Monthly Material Change,VIX Change
1/01/1997,0.14194,-0.069311711
1/02/1997,0.4961,0.083718597
1/03/1997,0.21157,0.049289052
1/04/1997,0.35186,-0.09394761
1/05/1997,0,-0.043369793
1/06/1997,-0.07013,0.121938503
1/07/1997,0.21053,-0.002322387
1/08/1997,-0.14006,0.152700186
1/09/1997,-0.35063,-0.074717286
1/10/1997,-0.42224,0.53164557
1/11/1997,0.21201,-0.218295811
1/12/1997,-0.28209,-0.124681006
1/01/1998,-0.14144,-0.105789296
1/02/1998,0.07082,-0.136003732
1/03/1998,0.07077,0.305660394
1/04/1998,0.28289,-0.125516066
1/05/1998,-0.14104,0.006610009
1/06/1998,-0.28249,-0.075515994
1/07/1998,0.49575,0.258244559
1/08/1998,0.35236,0.785483903
1/09/1998,-0.2809,-0.075203209
1/10/1998,-0.84507,-0.315018356
1/11/1998,-0.21307,-0.07272724
1/12/1998,0,-0.061130334
1/01/1999,0,0.074938575
1/02/1999,0.42705,0.0620952
1/03/1999,0.35436,-0.165710157
1/04/1999,0,0.077815993
1/05/1999,0.49435,0.01276422
1/06/1999,1.12439,-0.169357982
1/07/1999,0.76442,0.168326174
1/08/1999,-0.13793,-0.007710958
1/09/1999,-0.89779,0.039263761
1/10/1999,-0.62718,-0.126328178
1/11/1999,0.21038,0.08918914
1/12/1999,0.27992,0.019023945
1/01/2000,0.55827,0.012581251
1/02/2000,0.41638,-0.063326651
1/03/2000,0.48376,0.031664526
1/04/2000,0.13755,0.086686019
1/05/2000,-0.48077,-0.097328279
1/06/2000,0.06901,-0.173784313
1/07/2000,-0.41379,0.061412433
1/08/2000,-0.48476,-0.18804243
1/09/2000,-0.20877,0.221496437
1/10/2000,-0.06974,0.148760282
1/11/2000,-0.4187,0.25476095
1/12/2000,-0.14015,-0.094435076
1/01/2001,-0.35088,-0.179888268
1/02/2001,0.28169,0.28746594
1/03/2001,0,0.010229242
1/04/2001,0.07022,-0.110335164
1/05/2001,1.19298,-0.111460008
1/06/2001,0.06935,-0.158127215
1/07/2001,-0.6237,0.134312809
1/08/2001,-0.06974,0.152636394
1/09/2001,-0.20935,0.281300161
1/10/2001,-0.48951,0.051049201
1/11/2001,-0.14055,-0.289630534
1/12/2001,-0.28149,-0.001677894
1/01/2002,0.21171,-0.113865509
1/02/2002,0.14085,0.023707918
1/03/2002,0.70323,-0.194071329
1/04/2002,0.2095,0.259195402
1/05/2002,0.20906,-0.088087631
1/06/2002,0.34771,0.271271271
1/07/2002,0.2772,0.261023583
1/08/2002,0.27643,0.019044646
1/09/2002,0.20675,0.215992654
1/10/2002,-0.2751,-0.215419507
1/11/2002,-0.27586,-0.11689143
1/12/2002,-0.20747,0.040727309
1/01/2003,0.0693,0.089098494
1/02/2003,0.55402,-0.049406513
1/03/2003,0,-0.016199764
1/04/2003,0.48209,-0.272384254
1/05/2003,-0.06854,-0.082036779
1/06/2003,0.20576,0.002568105
1/07/2003,0.61602,-0.001536885
1/08/2003,0.13605,-0.044125244
1/09/2003,1.22283,0.219538391
1/10/2003,0.40268,-0.291373208
1/11/2003,0.40107,0.013664596
1/12/2003,-0.33289,0.121936213
1/01/2004,0.2004,-0.091753145
1/02/2004,2.26667,-0.125075113
1/03/2004,2.02086,0.150515464
1/04/2004,2.30032,0.02688178
1/05/2004,1.62399,-0.098313025
1/06/2004,-0.43024,-0.07483871
1/07/2004,0.12346,0.068340307
1/08/2004,2.28113,-0.001958225
1/09/2004,0.7836,-0.127534336
1/10/2004,-0.77751,0.21964018
1/11/2004,-0.24111,-0.186232329
1/12/2004,0.48338,0.003776435
1/01/2005,1.38304,-0.035364936
1/02/2005,1.06762,-0.057722309
1/03/2005,-0.23474,0.160596026
1/04/2005,0,0.092011412
1/05/2005,-1.11765,-0.131939909
1/06/2005,-0.17847,-0.094055681
1/07/2005,-0.35757,-0.039036545
1/08/2005,-0.77751,0.089023336
1/09/2005,1.80832,-0.053968254
1/10/2005,1.59858,0.285234899
1/11/2005,0.64103,-0.212793734
1/12/2005,0.46323,0.000829187
1/01/2006,2.13256,0.072908036
1/02/2006,0.28217,-0.047104247
1/03/2006,0.33765,-0.076985413
1/04/2006,0.3926,0.017559263
1/05/2006,0.50279,0.41846428
1/06/2006,0.44469,-0.20437961
1/07/2006,0.88545,0.142966361
1/08/2006,0.16456,-0.176588629
1/09/2006,0.38335,-0.026807474
