DATE,DelinquencyRate,UncertaintyIndex
1987-01-01,6.75,94.67653998
1987-04-01,6.75,85.17780049
1987-07-01,6.4,60.6736388
1987-10-01,6.23,397.7010646
1988-01-01,5.85,175.3326047
1988-04-01,5.46,75.0382135
1988-07-01,5.4,34.21153268
1988-10-01,5,94.1305783
1989-01-01,5.25,140.1402098
1989-04-01,5.18,134.2778559
1989-07-01,5.2,72.93339232
1989-10-01,5.15,105.6342437
1990-01-01,5.17,89.3025995
1990-04-01,5.35,107.6133366
1990-07-01,5.46,280.205467
1990-10-01,6.27,216.0248604
1991-01-01,6.29,371.8806818
1991-04-01,6.41,95.21459778
1991-07-01,6.22,118.2835643
1991-10-01,6.03,254.6061685
1992-01-01,5.76,87.0230157
1992-04-01,5.49,76.52513818
1992-07-01,5.25,75.63827479
1992-10-01,4.76,93.1063254
1993-01-01,4.41,68.77027153
1993-04-01,4.01,38.64957597
1993-07-01,3.61,56.50325918
1993-10-01,3.05,20.27233398
1994-01-01,2.79,26.29047041
1994-04-01,2.4,30.64860868
1994-07-01,2.22,25.1949542
1994-10-01,2.18,30.3816637
1995-01-01,2.12,84.68719497
1995-04-01,2.1,28.28278387
1995-07-01,2.07,13.1281695
1995-10-01,2.07,30.33184346
1996-01-01,2.06,22.63294151
1996-04-01,2.06,23.80800296
1996-07-01,2.01,16.38414771
1996-10-01,1.95,22.72689545
1997-01-01,1.9,24.84807297
1997-04-01,1.81,33.87112736
1997-07-01,1.72,6.739095729
1997-10-01,1.7,46.70510991
1998-01-01,1.81,42.35307832
1998-04-01,1.73,16.30790606
1998-07-01,1.77,46.12575737
1998-10-01,1.87,30.30021093
1999-01-01,1.97,29.69867483
1999-04-01,2,26.61005498
1999-07-01,2.06,24.86691266
1999-10-01,1.99,31.37371813
2000-01-01,2.11,26.85993702
2000-04-01,2.24,48.42929057
2000-07-01,2.33,31.6253799
2000-10-01,2.52,45.56247403
2001-01-01,2.65,42.93916863
2001-04-01,2.94,46.3808779
2001-07-01,3.26,226.6496271
2001-10-01,3.48,78.15012915
2002-01-01,3.69,101.1558188
2002-04-01,3.92,83.59355202
2002-07-01,3.88,247.823561
2002-10-01,3.87,242.5406504
2003-01-01,3.65,190.1389902
2003-04-01,3.56,161.4926394
2003-07-01,3.27,52.58924076
2003-10-01,2.84,40.60496903
2004-01-01,2.57,29.1364916
2004-04-01,2.29,70.57650699
2004-07-01,2.03,42.75684796
2004-10-01,1.81,31.7742496
2005-01-01,1.63,58.55833926
2005-04-01,1.49,44.26961127
2005-07-01,1.47,33.9642552
2005-10-01,1.44,27.76437081
2006-01-01,1.4,51.58718735
2006-04-01,1.29,27.47897152
2006-07-01,1.25,41.65960117
2006-10-01,1.15,23.35598034
2007-01-01,1.2,30.67039602
2007-04-01,1.18,34.84967523
2007-07-01,1.2,136.5837759
2007-10-01,1.31,54.91307418
2008-01-01,1.45,120.7128288
2008-04-01,1.76,81.80296739
2008-07-01,1.76,428.3479951
2008-10-01,2.56,506.8052792
2009-01-01,3.2,428.6782696
2009-04-01,3.76,207.8077673
2009-07-01,4.36,120.6126387
2009-10-01,4.3,169.2654839
2010-01-01,3.95,196.890015
2010-04-01,3.62,252.0441915
2010-07-01,3.31,409.2479226
2010-10-01,2.98,208.8086276
2011-01-01,2.45,160.2085094
2011-04-01,2.11,155.99234
2011-07-01,1.83,214.8796898
2011-10-01,1.64,259.7035152
2012-01-01,1.53,105.2848111
2012-04-01,1.4,137.3865675
2012-07-01,1.25,279.3628192
2012-10-01,1.18,238.1698633
2013-01-01,1.11,139.4003627
2013-04-01,1.04,58.26552128
2013-07-01,0.98,108.7465169
2013-10-01,0.89,118.2064268
2014-01-01,0.9,93.24524945
2014-04-01,0.8,61.45166171
2014-07-01,0.77,79.26989825
2014-10-01,0.72,69.31190546
2015-01-01,0.75,56.35866854
2015-04-01,0.81,41.93767561
2015-07-01,0.9,109.8374224
2015-10-01,1.02,67.73744815
2016-01-01,1.5,88.843005
2016-04-01,1.6,72.86215566
2016-07-01,1.59,52.574018
2016-10-01,1.58,148.9123695
2017-01-01,1.54,93.85231854
2017-04-01,1.36,62.67536685
2017-07-01,1.27,131.0486482
2017-10-01,1.17,37.30465041
2018-01-01,1.11,35.36572634
2018-04-01,1.08,75.39656579
2018-07-01,0.99,51.84842696
2018-10-01,0.93,52.97856442
2019-01-01,1.16,70.58515103
2019-04-01,1.08,45.38712082
2019-07-01,1.12,100.1498137
2019-10-01,1.09,99.34341757
2020-01-01,1.15,130.1132111
2020-04-01,1.28,284.581634
2020-07-01,1.29,183.3442728
2020-10-01,1.24,93.26779421
2021-01-01,1.17,111.7519552
2021-04-01,1.07,108.4308261
2021-07-01,1.02,74.82609637
2021-10-01,1.12,79.01471055
2022-01-01,1.07,170.9033328
2022-04-01,1.03,118.0143043
2022-07-01,1.1,96.3882627
2022-10-01,1.02,131.0305106
2023-01-01,0.98,322.9153887
2023-04-01,1,249.0803735
2023-07-01,0.95,91.38604565
