DATE,Monthly Material Change,Monthly Interest Rate Change
1/01/1997,0.14194,-0.04
1/02/1997,0.4961,-0.068801843
1/03/1997,0.21157,0.200414747
1/04/1997,0.35186,0.121204301
1/05/1997,0,-0.003139785
1/06/1997,-0.07013,0.051473118
1/07/1997,0.21053,-0.034376344
1/08/1997,-0.14006,0.020967742
1/09/1997,-0.35063,-0.001591398
1/10/1997,-0.42224,-0.044537634
1/11/1997,0.21201,0.025537634
1/12/1997,-0.28209,-0.016827957
1/01/1998,-0.14144,0.052580645
1/02/1998,0.07082,-0.051705069
1/03/1998,0.07077,-0.012165899
1/04/1998,0.28289,-0.048215054
1/05/1998,-0.14104,0.043376344
1/06/1998,-0.28249,0.069956989
1/07/1998,0.49575,-0.022860215
1/08/1998,0.35236,0.010967742
1/09/1998,-0.2809,-0.035107527
1/10/1998,-0.84507,-0.440698925
1/11/1998,-0.21307,-0.244967742
1/12/1998,0,-0.142451613
1/01/1999,0,-0.050967742
1/02/1999,0.42705,0.132062212
1/03/1999,0.35436,0.044711982
1/04/1999,0,-0.073021505
1/05/1999,0.49435,0.005924731
1/06/1999,1.12439,0.022408602
1/07/1999,0.76442,0.229526882
1/08/1999,-0.13793,0.078064516
1/09/1999,-0.89779,0.152075269
1/10/1999,-0.62718,-0.024333333
1/11/1999,0.21038,0.22
1/12/1999,0.27992,-0.124193548
1/01/2000,0.55827,0.152580645
1/02/2000,0.41638,0.286440489
1/03/2000,0.48376,0.118720801
1/04/2000,0.13755,0.16611828
1/05/2000,-0.48077,0.248397849
1/06/2000,0.06901,0.260268817
1/07/2000,-0.41379,0.016182796
1/08/2000,-0.48476,-0.047741935
1/09/2000,-0.20877,0.020225806
1/10/2000,-0.06974,-0.007645161
1/11/2000,-0.4187,0.004978495
1/12/2000,-0.14015,-0.112075269
1/01/2001,-0.35088,-0.426451613
1/02/2001,0.28169,-0.481520737
1/03/2001,0,-0.183317972
1/04/2001,0.07022,-0.508967742
1/05/2001,1.19298,-0.589741935
1/06/2001,0.06935,-0.242591398
1/07/2001,-0.6237,-0.200634409
1/08/2001,-0.06974,-0.116451613
1/09/2001,-0.20935,-0.583580645
1/10/2001,-0.48951,-0.58383871
